Unnamed: 0,offer received_bogo_10_10_7,offer received_bogo_10_10_5,offer received_informational_0_0_4,offer received_bogo_5_5_7,offer received_discount_20_5_10,offer received_discount_7_3_7,offer received_discount_10_2_10,offer received_informational_0_0_3,offer received_bogo_5_5_5,offer received_discount_10_2_7,offer viewed_bogo_10_10_7,offer viewed_bogo_10_10_5,offer viewed_informational_0_0_4,offer viewed_bogo_5_5_7,offer viewed_discount_20_5_10,offer viewed_discount_7_3_7,offer viewed_discount_10_2_10,offer viewed_informational_0_0_3,offer viewed_bogo_5_5_5,offer viewed_discount_10_2_7,offer completed_bogo_10_10_7,offer completed_bogo_10_10_5,offer completed_bogo_5_5_7,offer completed_discount_20_5_10,offer completed_discount_7_3_7,offer completed_discount_10_2_10,offer completed_bogo_5_5_5,offer completed_discount_10_2_7,avg_spending,transaction_count,sum_spending,invalid,bogo_received,bogo_viewed,rate_viewed_bogo,bogo_completed,rate_completed_viewed_bogo,rate_completed_received_bogo,discount_received,discount_viewed,rate_viewed_discount,discount_completed,rate_completed_viewed_discount,rate_completed_received_discount,informational_received,informational_viewed,rate_viewed_informational,offer_received_total,offer_viewed_total,offer_completed_total,rate_offer_viewed_overall,rate_offer_completed_received_overall,rate_offer_completed_viewed_overall,rate_offer_viewed_bogo_10_10_7,rate_offer_completed_viewed_bogo_10_10_7,rate_offer_completed_received_bogo_10_10_7,rate_offer_viewed_bogo_10_10_5,rate_offer_completed_viewed_bogo_10_10_5,rate_offer_completed_received_bogo_10_10_5,rate_offer_viewed_informational_0_0_4,rate_offer_viewed_bogo_5_5_7,rate_offer_completed_viewed_bogo_5_5_7,rate_offer_completed_received_bogo_5_5_7,rate_offer_viewed_discount_20_5_10,rate_offer_completed_viewed_discount_20_5_10,rate_offer_completed_received_discount_20_5_10,rate_offer_viewed_discount_7_3_7,rate_offer_completed_viewed_discount_7_3_7,rate_offer_completed_received_discount_7_3_7,rate_offer_viewed_discount_10_2_10,rate_offer_completed_viewed_discount_10_2_10,rate_offer_completed_received_discount_10_2_10,rate_offer_viewed_informational_0_0_3,rate_offer_viewed_bogo_5_5_5,rate_offer_completed_viewed_bogo_5_5_5,rate_offer_completed_received_bogo_5_5_5,rate_offer_viewed_discount_10_2_7,rate_offer_completed_viewed_discount_10_2_7,rate_offer_completed_received_discount_10_2_7,transaction_completed_ratio,member_days_since,member_year_2013,member_year_2014,member_year_2015,member_year_2016,member_year_2017,member_year_2018,cluster
68be06ca386d4c31939f3a4f0e3dd783,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.2666666666666666,9.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,0.4,0.4,0.0,0.0,0.0,5.0,5.0,2.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.285714285714286,687,0,0,0,0,1,0,5
38fe809add3b4fcf9315a9694bb96ff5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3833333333333333,6.0,14.3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,172,0,0,0,0,0,1,4
a03223e636434f42ac4c3df47e8bac43,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5499999999999998,3.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.6666666666666666,0.0,0.0,0.0,2.0,1.0,0.5,5.0,3.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,514,0,0,0,0,1,0,8
8ec6ce2a7e7949b1bf142def7d0e0586,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,462,0,0,0,0,1,0,8
68617ca6246f4fbc85e91a2a49552598,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.0,0.24,0.0,3.0,2.0,0.6666666666666666,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,455,0,0,0,0,1,0,9
8974fc5686fe429db53ddde067b88302,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.603333333333333,6.0,15.62,1.0,3.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,769,0,0,0,1,0,0,4
c4863c7985cf408faee930f111475da3,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.378888888888889,9.0,66.41,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,494,0,0,0,0,1,0,10
148adfcaa27d485b82f323aaaad036bd,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.13875,8.0,17.11,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.272727272727272,1199,0,0,1,0,0,0,5
744d603ef08c4f33af5a61c8c7628d1c,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,5.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,517,0,0,0,0,1,0,4
2b826eba31074a059d63b0ae8f50b7d5,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.964,5.0,9.82,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,480,0,0,0,0,1,0,8
